Field=Currency5~String~Currency5~100|Field=DateOfPrice5~String~DateOfPrice5~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Manufacturer5~String~Manufacturer5~100|Field=OtherParams~String~OtherParams~100|Field=Quantity~Integer~Quantity~100|Field=Reference5~String~Reference5~100|Field=Supplier5~String~Supplier5~100|Field=Typ5~String~Typ5~100|Field=Value~String~Value~100|Field=Price1~String~Price1~100|Field=ProjectName~String~ProjectName~100|Field=Descript~String~Descript~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LPGDetA1.PrjPCB|ReportField=ProjectFullPath~E:\Design\Maciejak_A\LPGDetA1\sch\LPGDetA1.PrjPCB|ReportField=Title~BOM For Variant [4-20mA] of Project [LPGDetA1.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~90|ReportField=ReportTime~19:24:49|ReportField=ReportDate~2013-01-26|ReportField=ReportDateTime~2013-01-26 19:24:49|ReportField=OutputName~BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~4-20mA|ReportField=VariantComment~Wyjsciem jest zrodlo pradowe 4-20mA|ReportField=Nazwa_projektu~Detektor gazów LPG|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2013-01-26|ReportField=CurrentTime~19:24:37|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Design\Maciejak_A\LPGDetA1\sch\LPGDetA1_main.SchDoc|ReportField=DocumentName~LPGDetA1_main.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=LotOfPieces~1|ReportField=MineMounted~|ReportField=ModifiedDate~2013-01-13|ReportField=Organization~|ReportField=ProjectName~LPGDetA1.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~6|ReportField=Subtitle0~Schemat glowny|ReportField=Subtitle1~|ReportField=Subtitle2~|ReportField=SVNPath~|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~LPGDetA1.PrjPCB|ReportField=DataSourceFullPath~E:\Design\Maciejak_A\LPGDetA1\sch\LPGDetA1.PrjPCB
PLN|2012-11-24|R11o|0805WAF 30K T5E[[/\]]0805[[/\]]0.125W[[/\]]1%[[/\]]30k 1%|Royal Ohm|30k 1%|1|SMD0805-30K-1%|tme.pl|0805WAF 30K T5E|0805WAF 30K T5E|0,029|LPGDetA1.PrjPCB|Resistor 30kohm, 0805, 1%
PLN|2012-09-18|R13o|0805WAJ 300R T5E[[/\]]0805[[/\]]0.125W[[/\]]5%[[/\]]300R|Royal Ohm|300R|1|SMD0805-300R|tme.pl|0805WAJ 300R T5E|0805WAJ 300R T5E|0,01|LPGDetA1.PrjPCB|Rezystor:thick film; SMD; 0805; 300R; 0,125W; ±5%; -55÷125°C
PLN|2012-09-21|SW1c, SW1o|DTS63K[[/\]]DTS63K[[/\]]6x6|Diptronics|DTS63K|2|DTS63K|tme.pl|DTS-63K|DTS63K||LPGDetA1.PrjPCB|tactile switch
PLN|2012-09-19|T1|2N7002PW[[/\]]SOT323-3|NXP||1|1829184|farnell.com|2N7002PW|2N7002PW|0,14|LPGDetA1.PrjPCB|N-channel enhacement-mode vertical DMOS FET
PLN|2012-11-24|U1c|STM32F100C8T6B[[/\]]MS-026ABC|ST||1|STM32F100C8T6B|kamami.pl|STM32F100C8T6B|STM32F100C8T6B|9,51|LPGDetA1.PrjPCB|MCU, 32BIT, CORTEXM3, 64K FLASH, 48LQFP
PLN|2012-11-16|U1o|LM258D[[/\]]8SOIC150|Texas Instruments||1|LM258DSMD|tme.pl|LM258D|LM258D|0,305|LPGDetA1.PrjPCB|Low Power Dual Operational Amplifiers
PLN|2012-11-24|U1u|78M09CDT[[/\]]TO-252|||1|78M09CDT|tme.pl||78M09CDT|0,743|LPGDetA1.PrjPCB|+9V voltage regulator TO-252, 0.5A
PLN|2012-11-24|U2c|ST3232CD[[/\]]16SOIC150|ST||1|ST3232CD|tme.pl|ST3232CD|ST3232CD|2,03|LPGDetA1.PrjPCB|DUAL EIA-232 DRIVER/RECEIVER, 3-5V
PLN|2012-11-03|U2o|MCP6L71T-E/OT[[/\]]SOT23-5|Microchip||1|1715861|farnell.com|MCP6L71T-E/OT|MCP6L71T-E/OT|1,33|LPGDetA1.PrjPCB|2MHz, 85uA, OpAmp, SOT23-5
PLN|2012-11-24|U2u|L7805ACD2T[[/\]]D2PAK|ST||1|L7805ACD2T|tme.pl|L7805ACD2T|L7805ACD2T|1,09|LPGDetA1.PrjPCB|Precision voltage regulator 5V/1A D2PAK
PLN|2012-09-20|U3u|MCP1700T3302ETT[[/\]]SOT23-3|Microchip||1|MCP1700T3302ETT|tme.pl|MCP1700T3302E/TT|MCP1700T3302ETT|1,2|LPGDetA1.PrjPCB|Low quiescent current LDO, 3.3V, 250mA, SOT-23
PLN|2012-11-15|U4c|REF2933AIDBZT[[/\]]SOT23-3|Texas Instruments||1|1459250|farnell.com|REF2933AIDBZT|REF2933AIDBZT|6,11|LPGDetA1.PrjPCB|100ppm/°C, 50µA in SOT23-3 CMOS VOLTAGE REFERENCE
PLN|2012-09-19|U4u|ZLDO1117KTC[[/\]]TO-252|Diodes Inc.||1|1825384|farnell.com|ZLDO1117KTC|ZLDO1117KTC|1,91|LPGDetA1.PrjPCB|1A 1.25 to 17V adjustable low drop positive voltage regulator
PLN|2012-11-03|X1c|12SMX (B) 30/5020/16 8.0 MHZ[[/\]]HC49SMP[[/\]]8MHz|IQD Frequency Products|8MHz|1|1276690|farnell.com|12SMX (B) 30/5020/16 8.0 MHZ|12SMX (B) 30/5020/16 8.0 MHZ|3,6100|LPGDetA1.PrjPCB|oscillator 8MHz, 5x7mm
